,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
PSD_12_to_30_12,-0.15135117829736336,-0.1792611317853163,0.1912998257680318,-0.29022087478313974,0.812217005665844,1.0,0.8157649486805173,0.19884491811840327,0.06303883063948908
PSD_20_to_40_12,0.034343171380757494,-0.4743493228289267,-0.17270589611008438,-0.351563075198099,0.9745578356592312,0.8157649486805173,1.0,0.5643658922669156,0.05526775719205972
levodopa_12,0.025546758274521714,-0.6589663705263163,-0.61321241395855,-0.33400032775919597,0.5055139364501383,0.19884491811840327,0.5643658922669156,1.0,-0.28130344728672874
UPDRS_12,0.0672108392081483,0.5903670859534905,0.20636629852399666,0.47937538650399625,0.13068452637257486,0.06303883063948908,0.05526775719205972,-0.28130344728672874,1.0
""
,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13,levodopa_13,UPDRS_13
burstduration_13,1.0,-0.44917028392511843,-0.37019330019345265,0.1581527365603489,-0.36609851883603695,-0.3594558462474134,-0.3856815238708493,-0.44240125029040006,0.3920297946431352
burstinterval_13,-0.44917028392511843,1.0,0.5224688633716512,-0.16675657413189324,0.31356733665763525,0.3253433133303846,0.31695301339038817,0.0706132396115538,-0.40155266236665554
Ku_13,-0.37019330019345265,0.5224688633716512,1.0,-0.3926671647792103,0.8303298835758742,0.8345323310363036,0.8060953607502185,0.21706223486287146,-0.7920939283588585
CorrDim_13,0.1581527365603489,-0.16675657413189324,-0.3926671647792103,1.0,-0.6444016373491331,-0.6253980453012343,-0.6488706692707382,-0.23173887957403133,0.643886818880793
PSD_3_to_7_13,-0.36609851883603695,0.31356733665763525,0.8303298835758742,-0.6444016373491331,1.0,0.9878329602431857,0.9929684922470322,0.27814286865614,-0.9118238995325016
PSD_12_to_30_13,-0.3594558462474134,0.3253433133303846,0.8345323310363036,-0.6253980453012343,0.9878329602431857,1.0,0.9852812512142407,0.21865484443711444,-0.8945753686605872
PSD_20_to_40_13,-0.3856815238708493,0.31695301339038817,0.8060953607502185,-0.6488706692707382,0.9929684922470322,0.9852812512142407,1.0,0.30404064134455766,-0.9050231962629786
levodopa_13,-0.44240125029040006,0.0706132396115538,0.21706223486287146,-0.23173887957403133,0.27814286865614,0.21865484443711444,0.30404064134455766,1.0,-0.28130344728672874
UPDRS_13,0.3920297946431352,-0.40155266236665554,-0.7920939283588585,0.643886818880793,-0.9118238995325016,-0.8945753686605872,-0.9050231962629786,-0.28130344728672874,1.0
""
