,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
burstinterval_14,0.3271362175775543,1.0,0.5391726094628202,0.5486867521867866,0.19554691345855577,0.14667846138619445,0.25953107828609656,0.09118737006449656
Ku_14,0.26695496613289466,0.5391726094628202,1.0,0.5642512412886446,-0.22329924500437026,-0.17247845445534576,-0.21554600146530725,0.1365333582804936
CorrDim_14,0.2283622686256752,0.5486867521867866,0.5642512412886446,1.0,0.18639819664029897,0.12310762415615402,0.20077398770546384,0.08510097413993067
PSD_3_to_7_14,0.18457031300585378,0.19554691345855577,-0.22329924500437026,0.18639819664029897,1.0,0.9028904136430993,0.9659820285754799,0.1818955647341539
PSD_12_to_30_14,0.1654068486586757,0.14667846138619445,-0.17247845445534576,0.12310762415615402,0.9028904136430993,1.0,0.8873069987376174,0.11783222175389632
PSD_20_to_40_14,0.185457052504774,0.25953107828609656,-0.21554600146530725,0.20077398770546384,0.9659820285754799,0.8873069987376174,1.0,0.1554141371437278
levodopa_14,0.0743988805050889,0.09118737006449656,0.1365333582804936,0.08510097413993067,0.1818955647341539,0.11783222175389632,0.1554141371437278,1.0
""
,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15,levodopa_15
burstduration_15,1.0,0.1993173445746565,-0.015858817746612398,-0.04498183483228902,-0.02363270840390018,-0.04000965692712793,-0.011274420125503452,-0.0068099260944254085
burstinterval_15,0.1993173445746565,1.0,0.5585405767052608,0.10896942087962476,0.04353579544433927,0.05803881860507206,0.036506796892869224,0.006330785411150801
Ku_15,-0.015858817746612398,0.5585405767052608,1.0,-0.05452027611975853,-0.029274677901529614,0.0022541308495065693,-0.03804636893467252,-0.054021220868001145
CorrDim_15,-0.04498183483228902,0.10896942087962476,-0.05452027611975853,1.0,-0.02918780646577485,-0.07635008888868915,-0.031719435532144194,-0.42204554096998975
PSD_3_to_7_15,-0.02363270840390018,0.04353579544433927,-0.029274677901529614,-0.02918780646577485,1.0,0.9901109194015604,0.9973620048799412,-0.22643500824522678
PSD_12_to_30_15,-0.04000965692712793,0.05803881860507206,0.0022541308495065693,-0.07635008888868915,0.9901109194015604,1.0,0.9869596657029417,-0.184943608037021
PSD_20_to_40_15,-0.011274420125503452,0.036506796892869224,-0.03804636893467252,-0.031719435532144194,0.9973620048799412,0.9869596657029417,1.0,-0.2308920380640063
