,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4
burstduration_4,1.0,0.23162908468144192,0.43296378530296115,-0.7288736395937641,-0.4166873239855757,-0.43041809853868945,-0.39274208817703077
burstinterval_4,0.23162908468144192,1.0,-0.3694005986087359,-0.20100214080918086,-0.0761433268429803,-0.16509858666424312,-0.04949269172657475
Ku_4,0.43296378530296115,-0.3694005986087359,1.0,-0.7036068313440699,-0.867346445421043,-0.7943952084503203,-0.8884838679479811
CorrDim_4,-0.7288736395937641,-0.20100214080918086,-0.7036068313440699,1.0,0.8559977292498977,0.900394432827444,0.7967524384196133
PSD_3_to_7_4,-0.4166873239855757,-0.0761433268429803,-0.867346445421043,0.8559977292498977,1.0,0.9862057851291968,0.9907434154305258
PSD_12_to_30_4,-0.43041809853868945,-0.16509858666424312,-0.7943952084503203,0.900394432827444,0.9862057851291968,1.0,0.956365145422199
PSD_20_to_40_4,-0.39274208817703077,-0.04949269172657475,-0.8884838679479811,0.7967524384196133,0.9907434154305258,0.956365145422199,1.0
