,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14
burstduration_14,1.0,0.9697469272749275,0.26942588146966745,0.28720707708656357,-0.15065121115853541,0.42251029121847045,-0.07084465391937832
burstinterval_14,0.9697469272749275,1.0,0.21166939739116214,0.2663984521163026,0.03783251262868466,0.5252688631238072,0.10028047341203088
Ku_14,0.26942588146966745,0.21166939739116214,1.0,-0.07686150997883272,0.3216725932624231,0.7332544771537728,0.45372461700307826
CorrDim_14,0.28720707708656357,0.2663984521163026,-0.07686150997883272,1.0,-0.488015352536861,-0.16642317446390467,-0.45231952051341373
PSD_3_to_7_14,-0.15065121115853541,0.03783251262868466,0.3216725932624231,-0.488015352536861,1.0,0.7555267678798531,0.9890693367444091
PSD_12_to_30_14,0.42251029121847045,0.5252688631238072,0.7332544771537728,-0.16642317446390467,0.7555267678798531,1.0,0.8353469930448643
PSD_20_to_40_14,-0.07084465391937832,0.10028047341203088,0.45372461700307826,-0.45231952051341373,0.9890693367444091,0.8353469930448643,1.0
