,burstduration_5,burstinterval_5,Ku_5,CorrDim_5,PSD_3_to_7_5,PSD_12_to_30_5,PSD_20_to_40_5
burstduration_5,1.0,0.5765423473388436,0.16105818198332703,0.49534669867148307,-0.00046955832300297324,0.1447963154499453,-0.06312564476507584
burstinterval_5,0.5765423473388436,1.0,0.33707102294445423,0.9022575865004715,-0.2799181783443898,-0.39256835406506396,-0.23680105324262074
Ku_5,0.16105818198332703,0.33707102294445423,1.0,0.25500244728488286,-0.3593642535351258,0.027582333646267908,-0.39739829099950785
CorrDim_5,0.49534669867148307,0.9022575865004715,0.25500244728488286,1.0,-0.627594001993022,-0.7097349063047814,-0.5860340143074619
PSD_3_to_7_5,-0.00046955832300297324,-0.2799181783443898,-0.3593642535351258,-0.627594001993022,1.0,0.8459711663954206,0.9914622001528834
PSD_12_to_30_5,0.1447963154499453,-0.39256835406506396,0.027582333646267908,-0.7097349063047814,0.8459711663954206,1.0,0.7759043097195285
PSD_20_to_40_5,-0.06312564476507584,-0.23680105324262074,-0.39739829099950785,-0.5860340143074619,0.9914622001528834,0.7759043097195285,1.0
