,burstduration_7,burstinterval_7,Ku_7,CorrDim_7,PSD_3_to_7_7,PSD_12_to_30_7,PSD_20_to_40_7
burstduration_7,1.0,-0.9471082291126448,0.45458288268936015,-0.01359234044834238,0.5678973663696646,0.6177962339993456,0.5577981725954881
burstinterval_7,-0.9471082291126448,1.0,-0.25742108992177937,0.29762999545247615,-0.3324505142331816,-0.40778420468699633,-0.3275172880974443
Ku_7,0.45458288268936015,-0.25742108992177937,1.0,0.19710047355100432,0.4651255423374991,0.3388186647701004,0.4327465462020484
CorrDim_7,-0.01359234044834238,0.29762999545247615,0.19710047355100432,1.0,0.7549153181514318,0.7239653243445792,0.7577361287608814
PSD_3_to_7_7,0.5678973663696646,-0.3324505142331816,0.4651255423374991,0.7549153181514318,1.0,0.9840329470642545,0.9992801250225715
PSD_12_to_30_7,0.6177962339993456,-0.40778420468699633,0.3388186647701004,0.7239653243445792,0.9840329470642545,1.0,0.9875029498044283
PSD_20_to_40_7,0.5577981725954881,-0.3275172880974443,0.4327465462020484,0.7577361287608814,0.9992801250225715,0.9875029498044283,1.0
