,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10
burstduration_10,1.0,-0.07521054393393516,0.24878581366912644,0.03344284884722303,-0.7214608980570892,-0.7263958710014097,-0.7210614151817646
burstinterval_10,-0.07521054393393516,1.0,0.04737020220530841,0.2681078074229787,-0.43902637463617356,-0.45937127201780487,-0.43773052093695886
Ku_10,0.24878581366912644,0.04737020220530841,1.0,-0.8966497086113653,-0.17237531261799832,-0.10991037496487023,-0.17785075188405625
CorrDim_10,0.03344284884722303,0.2681078074229787,-0.8966497086113653,1.0,-0.14296785219095373,-0.21779004364722102,-0.13672132906966855
PSD_3_to_7_10,-0.7214608980570892,-0.43902637463617356,-0.17237531261799832,-0.14296785219095373,1.0,0.9966493140802077,0.9999789423601255
PSD_12_to_30_10,-0.7263958710014097,-0.45937127201780487,-0.10991037496487023,-0.21779004364722102,0.9966493140802077,1.0,0.9961040435819968
PSD_20_to_40_10,-0.7210614151817646,-0.43773052093695886,-0.17785075188405625,-0.13672132906966855,0.9999789423601255,0.9961040435819968,1.0
