,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
burstduration_12,1.0,0.698389913009865,0.7677388791156099,0.7877916906478505,0.9785073432029603,0.9773156723946385,0.9782078354493655
burstinterval_12,0.698389913009865,1.0,0.12499818951128594,0.5524854180617476,0.8060030787455766,0.8189440049494514,0.807780146045999
Ku_12,0.7677388791156099,0.12499818951128594,1.0,0.6820982483075019,0.6526973337953126,0.6390667340049162,0.6495755784738224
CorrDim_12,0.7877916906478505,0.5524854180617476,0.6820982483075019,1.0,0.8343262364871592,0.8194174424660076,0.8318668037400407
PSD_3_to_7_12,0.9785073432029603,0.8060030787455766,0.6526973337953126,0.8343262364871592,1.0,0.9995421002873979,0.9999841316385152
PSD_12_to_30_12,0.9773156723946385,0.8189440049494514,0.6390667340049162,0.8194174424660076,0.9995421002873979,1.0,0.9996461052190032
PSD_20_to_40_12,0.9782078354493655,0.807780146045999,0.6495755784738224,0.8318668037400407,0.9999841316385152,0.9996461052190032,1.0
