,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4
burstduration_4,1.0,0.4090149186997153,0.07060314260927492,-0.049982469394822183,-0.004310537022553613,-0.005703442257423059,-0.0020070231157783953
burstinterval_4,0.4090149186997153,1.0,-0.3335824406481416,-0.018097693374822706,0.8245511549102131,0.8196879364923908,0.8255193926412572
Ku_4,0.07060314260927492,-0.3335824406481416,1.0,0.12380606939054149,-0.08849875520001033,-0.0855786080305233,-0.08938567112819815
CorrDim_4,-0.049982469394822183,-0.018097693374822706,0.12380606939054149,1.0,-0.2557355041626979,-0.2678616317150056,-0.25704287080629273
PSD_3_to_7_4,-0.004310537022553613,0.8245511549102131,-0.08849875520001033,-0.2557355041626979,1.0,0.9999090554427141,0.9999961570063028
PSD_12_to_30_4,-0.005703442257423059,0.8196879364923908,-0.0855786080305233,-0.2678616317150056,0.9999090554427141,1.0,0.9999135031065751
PSD_20_to_40_4,-0.0020070231157783953,0.8255193926412572,-0.08938567112819815,-0.25704287080629273,0.9999961570063028,0.9999135031065751,1.0
