,burstduration_5,burstinterval_5,Ku_5,CorrDim_5,PSD_3_to_7_5,PSD_12_to_30_5,PSD_20_to_40_5
burstduration_5,1.0,-0.1975102459851761,0.2793903506714699,0.18888483652803215,-0.81414384241476,0.40897891517529,-0.8845493965043225
burstinterval_5,-0.1975102459851761,1.0,0.4725048296634804,-0.6231770531204658,-0.38340060343556853,-0.665912729941461,-0.26007017561063056
Ku_5,0.2793903506714699,0.4725048296634804,1.0,-0.7021010018628594,-0.4027960690642126,-0.07015061017500321,-0.5867913624084528
CorrDim_5,0.18888483652803215,-0.6231770531204658,-0.7021010018628594,1.0,0.05451154727002026,-0.03219225439595574,0.12870806192672588
PSD_3_to_7_5,-0.81414384241476,-0.38340060343556853,-0.4027960690642126,0.05451154727002026,1.0,0.07176679460387231,0.951461017613098
PSD_12_to_30_5,0.40897891517529,-0.665912729941461,-0.07015061017500321,-0.03219225439595574,0.07176679460387231,1.0,-0.07277667590009831
PSD_20_to_40_5,-0.8845493965043225,-0.26007017561063056,-0.5867913624084528,0.12870806192672588,0.951461017613098,-0.07277667590009831,1.0
