,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
burstduration_16,1.0,-0.5649975007206713,-0.588866633784079,-0.1517100775038402,-0.8258786910015604,-0.6499077548119239,-0.8795097406316567
burstinterval_16,-0.5649975007206713,1.0,0.03928070329032933,-0.49570660378306386,0.5781688565111759,0.678224291660723,0.6669228183599264
Ku_16,-0.588866633784079,0.03928070329032933,1.0,-0.16191718830880894,0.08960321409815934,0.05228575915719702,0.20771698813846903
CorrDim_16,-0.1517100775038402,-0.49570660378306386,-0.16191718830880894,1.0,0.3747419590685308,0.04883034221134855,0.22727013738031823
PSD_3_to_7_16,-0.8258786910015604,0.5781688565111759,0.08960321409815934,0.3747419590685308,1.0,0.8756596757520921,0.984078499192165
PSD_12_to_30_16,-0.6499077548119239,0.678224291660723,0.05228575915719702,0.04883034221134855,0.8756596757520921,1.0,0.9051036050207462
PSD_20_to_40_16,-0.8795097406316567,0.6669228183599264,0.20771698813846903,0.22727013738031823,0.984078499192165,0.9051036050207462,1.0
