,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
burstduration_12,1.0,-0.4732755159135892,-0.3016778594144655,0.1739518838601458,-0.6243000137473554,-0.6636644693788692,-0.6206649738100394
burstinterval_12,-0.4732755159135892,1.0,-0.04082339173592239,0.209523595361094,0.6845947919288976,0.675805490166029,0.6724576604514931
Ku_12,-0.3016778594144655,-0.04082339173592239,1.0,-0.8101964038239441,-0.17727407485450902,-0.1353337943677757,-0.15977768699283385
CorrDim_12,0.1739518838601458,0.209523595361094,-0.8101964038239441,1.0,0.5756443182578752,0.5348605385149909,0.5713545480069226
PSD_3_to_7_12,-0.6243000137473554,0.6845947919288976,-0.17727407485450902,0.5756443182578752,1.0,0.9983817533255908,0.9995490427134734
PSD_12_to_30_12,-0.6636644693788692,0.675805490166029,-0.1353337943677757,0.5348605385149909,0.9983817533255908,1.0,0.9984107116413198
PSD_20_to_40_12,-0.6206649738100394,0.6724576604514931,-0.15977768699283385,0.5713545480069226,0.9995490427134734,0.9984107116413198,1.0
