,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
burstduration_15,1.0,-0.8252145183696349,0.20578258452997972,0.3310412633777504,0.10540052053871588,-0.12363383572116486,0.011382193770609195
burstinterval_15,-0.8252145183696349,1.0,0.281248680908193,0.08342461828416456,0.3139597715596158,0.2882886536309544,0.4840290779185817
Ku_15,0.20578258452997972,0.281248680908193,1.0,0.5771822093661201,0.8164074663255803,0.6233390151721097,0.8853284196242459
CorrDim_15,0.3310412633777504,0.08342461828416456,0.5771822093661201,1.0,0.08815482945061036,0.6230075880276131,0.3059557266322062
PSD_3_to_7_15,0.10540052053871588,0.3139597715596158,0.8164074663255803,0.08815482945061036,1.0,0.13109539471625897,0.9576207963653046
PSD_12_to_30_15,-0.12363383572116486,0.2882886536309544,0.6233390151721097,0.6230075880276131,0.13109539471625897,1.0,0.2792674498513761
PSD_20_to_40_15,0.011382193770609195,0.4840290779185817,0.8853284196242459,0.3059557266322062,0.9576207963653046,0.2792674498513761,1.0
