,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
burstduration_1,1.0,0.19226831155568508,-0.269371785772646,0.333334476806848,-0.39584351499714715,-0.26646459229495,-0.38820105970171187
burstinterval_1,0.19226831155568508,1.0,-0.26729335045291464,-0.06744881532589708,-0.031208178752846014,-0.22553943472606294,-0.04050006031665014
Ku_1,-0.269371785772646,-0.26729335045291464,1.0,-0.8942298905177263,0.6855348695668034,0.9113825888051097,0.7122834287738223
CorrDim_1,0.333334476806848,-0.06744881532589708,-0.8942298905177263,1.0,-0.8857608511637,-0.9404435610384112,-0.9004775823085507
PSD_3_to_7_1,-0.39584351499714715,-0.031208178752846014,0.6855348695668034,-0.8857608511637,1.0,0.9079405850007961,0.9992661526533542
PSD_12_to_30_1,-0.26646459229495,-0.22553943472606294,0.9113825888051097,-0.9404435610384112,0.9079405850007961,1.0,0.922746786567759
PSD_20_to_40_1,-0.38820105970171187,-0.04050006031665014,0.7122834287738223,-0.9004775823085507,0.9992661526533542,0.922746786567759,1.0
