,burstduration_7,burstinterval_7,Ku_7,CorrDim_7,PSD_3_to_7_7,PSD_12_to_30_7,PSD_20_to_40_7
burstduration_7,1.0,-0.6665900624647478,0.2783976193552373,-0.1648683962629124,-0.17776338836373762,-0.9206589245870385,-0.08740588544865202
burstinterval_7,-0.6665900624647478,1.0,-0.08454595445116084,0.2256814016277005,0.5224534359829756,0.891004483158923,0.42008892003628523
Ku_7,0.2783976193552373,-0.08454595445116084,1.0,0.8989478662881558,0.5872834515733091,-0.2139484529901058,0.6982028883567023
CorrDim_7,-0.1648683962629124,0.2256814016277005,0.8989478662881558,1.0,0.649638825975895,0.20951047713947243,0.7241995528513302
PSD_3_to_7_7,-0.17776338836373762,0.5224534359829756,0.5872834515733091,0.649638825975895,1.0,0.2930876333425819,0.9886886650745511
PSD_12_to_30_7,-0.9206589245870385,0.891004483158923,-0.2139484529901058,0.20951047713947243,0.2930876333425819,1.0,0.19277451415418742
PSD_20_to_40_7,-0.08740588544865202,0.42008892003628523,0.6982028883567023,0.7241995528513302,0.9886886650745511,0.19277451415418742,1.0
