,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
burstduration_15,1.0,-0.7484337465071991,0.5479140281622701,-0.15142029265050294,-0.6512664121971078,-0.6958928569509205,-0.6645145000801711
burstinterval_15,-0.7484337465071991,1.0,-0.07910319796890466,-0.3149189560657327,0.5016813010786861,0.517681061013572,0.5465500863783432
Ku_15,0.5479140281622701,-0.07910319796890466,1.0,-0.8025980203797902,0.02933698664757288,-0.09089960663264457,0.047476715649154205
CorrDim_15,-0.15142029265050294,-0.3149189560657327,-0.8025980203797902,1.0,-0.011544273696667509,0.11166083869010744,-0.05233953897855112
PSD_3_to_7_15,-0.6512664121971078,0.5016813010786861,0.02933698664757288,-0.011544273696667509,1.0,0.9893879712004809,0.9983044003706314
PSD_12_to_30_15,-0.6958928569509205,0.517681061013572,-0.09089960663264457,0.11166083869010744,0.9893879712004809,1.0,0.985853398194699
PSD_20_to_40_15,-0.6645145000801711,0.5465500863783432,0.047476715649154205,-0.05233953897855112,0.9983044003706314,0.985853398194699,1.0
