,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4
burstduration_4,1.0,-0.8133194968083877,0.19001124633738437,-0.0773626248625828,-0.1765858991558254,-0.15404856670356185,-0.18540660415702273
burstinterval_4,-0.8133194968083877,1.0,0.1337926477472836,0.5439557240797966,-0.37805087321962394,-0.4053833688045818,-0.35960087952824454
Ku_4,0.19001124633738437,0.1337926477472836,1.0,0.3263338403378652,-0.38408882104724934,-0.40130933159743293,-0.33914162512927953
CorrDim_4,-0.0773626248625828,0.5439557240797966,0.3263338403378652,1.0,-0.9519854142985643,-0.9527106205627366,-0.9522360692447901
PSD_3_to_7_4,-0.1765858991558254,-0.37805087321962394,-0.38408882104724934,-0.9519854142985643,1.0,0.9992364966843471,0.9985232283842754
PSD_12_to_30_4,-0.15404856670356185,-0.4053833688045818,-0.40130933159743293,-0.9527106205627366,0.9992364966843471,1.0,0.995996715258817
PSD_20_to_40_4,-0.18540660415702273,-0.35960087952824454,-0.33914162512927953,-0.9522360692447901,0.9985232283842754,0.995996715258817,1.0
