,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
burstduration_12,1.0,0.3923829052276582,0.5053132967360068,-0.8920860947021964,0.9919776336520297,0.9921205239456444,0.9917977038603945
burstinterval_12,0.3923829052276582,1.0,-0.046267813450081935,-0.022931803575371567,0.341375484841925,0.3421873414108447,0.3408909095120536
Ku_12,0.5053132967360068,-0.046267813450081935,1.0,-0.5844511194046983,0.5011299287608467,0.5024165564048805,0.500846694739819
CorrDim_12,-0.8920860947021964,-0.022931803575371567,-0.5844511194046983,1.0,-0.9339201343049989,-0.9336665198784773,-0.9342573005536928
PSD_3_to_7_12,0.9919776336520297,0.341375484841925,0.5011299287608467,-0.9339201343049989,1.0,0.9999979328791404,0.999998971631358
PSD_12_to_30_12,0.9921205239456444,0.3421873414108447,0.5024165564048805,-0.9336665198784773,0.9999979328791404,1.0,0.9999950345101993
PSD_20_to_40_12,0.9917977038603945,0.3408909095120536,0.500846694739819,-0.9342573005536928,0.999998971631358,0.9999950345101993,1.0
