,burstduration_6,burstinterval_6,Ku_6,CorrDim_6,PSD_3_to_7_6,PSD_12_to_30_6,PSD_20_to_40_6
burstduration_6,1.0,-0.5604724101740416,0.004345116810773862,0.3241672080104348,0.155929763303563,0.16586433818936186,0.1542061857578599
burstinterval_6,-0.5604724101740416,1.0,0.5121883939006836,-0.6424288834466607,0.05486708998781567,0.12787176453354485,0.06852554722818387
Ku_6,0.004345116810773862,0.5121883939006836,1.0,-0.7653306030382405,-0.44569344716001846,-0.3647731303189537,-0.4356123334111147
CorrDim_6,0.3241672080104348,-0.6424288834466607,-0.7653306030382405,1.0,0.6303598624495613,0.5721495726377103,0.623037822310607
PSD_3_to_7_6,0.155929763303563,0.05486708998781567,-0.44569344716001846,0.6303598624495613,1.0,0.9946752169807447,0.9998155532477268
PSD_12_to_30_6,0.16586433818936186,0.12787176453354485,-0.3647731303189537,0.5721495726377103,0.9946752169807447,1.0,0.9962630859466681
PSD_20_to_40_6,0.1542061857578599,0.06852554722818387,-0.4356123334111147,0.623037822310607,0.9998155532477268,0.9962630859466681,1.0
