,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10
burstduration_10,1.0,0.6860606035064403,0.7261994774849614,-0.810494181380114,0.362743833743853,0.4199911295852425,0.37168218389623897
burstinterval_10,0.6860606035064403,1.0,0.44193434511844826,-0.3202756243492786,0.5793395245979505,0.6008529174427203,0.5821813144725074
Ku_10,0.7261994774849614,0.44193434511844826,1.0,-0.6666031930193556,-0.2504617995088665,-0.18468332361313894,-0.23903394887669732
CorrDim_10,-0.810494181380114,-0.3202756243492786,-0.6666031930193556,1.0,-0.2916429434168442,-0.3606387012754937,-0.30484823327658167
PSD_3_to_7_10,0.362743833743853,0.5793395245979505,-0.2504617995088665,-0.2916429434168442,1.0,0.997211507906757,0.9998932451284608
PSD_12_to_30_10,0.4199911295852425,0.6008529174427203,-0.18468332361313894,-0.3606387012754937,0.997211507906757,1.0,0.9981543746835438
PSD_20_to_40_10,0.37168218389623897,0.5821813144725074,-0.23903394887669732,-0.30484823327658167,0.9998932451284608,0.9981543746835438,1.0
