,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13
burstduration_13,1.0,0.4212512941745278,-0.47424956336308427,-0.019416700690994472,-0.4945507974672926,-0.49966340949092,-0.5032302451765402
burstinterval_13,0.4212512941745278,1.0,0.3703746460076289,0.8978188300296323,-0.4692502399739003,-0.4491881555735299,-0.4765910409457307
Ku_13,-0.47424956336308427,0.3703746460076289,1.0,0.6186265097542678,-0.3400815448915092,-0.3222193990014104,-0.3343589510560873
CorrDim_13,-0.019416700690994472,0.8978188300296323,0.6186265097542678,1.0,-0.24399375246673075,-0.21919521427714744,-0.24815415731942428
PSD_3_to_7_13,-0.4945507974672926,-0.4692502399739003,-0.3400815448915092,-0.24399375246673075,1.0,0.9996533857211599,0.9999284845223294
PSD_12_to_30_13,-0.49966340949092,-0.4491881555735299,-0.3222193990014104,-0.21919521427714744,0.9996533857211599,1.0,0.9995077188573489
PSD_20_to_40_13,-0.5032302451765402,-0.4765910409457307,-0.3343589510560873,-0.24815415731942428,0.9999284845223294,0.9995077188573489,1.0
