,burstduration_8,burstinterval_8,Ku_8,CorrDim_8,PSD_3_to_7_8,PSD_12_to_30_8,PSD_20_to_40_8
burstduration_8,1.0,-0.39472222192337186,-0.9004707856834063,-0.9129940194092049,0.43699271655127836,-0.3815801056399588,-0.5664722222675669
burstinterval_8,-0.39472222192337186,1.0,0.21186514553551652,0.6219507559880704,-0.6961647101732581,0.16687039397259906,0.4793372432836103
Ku_8,-0.9004707856834063,0.21186514553551652,1.0,0.74480783949088,-0.5582263942642951,0.030384684801728002,0.22340234591582475
CorrDim_8,-0.9129940194092049,0.6219507559880704,0.74480783949088,1.0,-0.5963824321916396,0.5609337157101614,0.7832058022316808
PSD_3_to_7_8,0.43699271655127836,-0.6961647101732581,-0.5582263942642951,-0.5963824321916396,1.0,0.14309474230618885,-0.18190137792862798
PSD_12_to_30_8,-0.3815801056399588,0.16687039397259906,0.030384684801728002,0.5609337157101614,0.14309474230618885,1.0,0.9348676510464892
PSD_20_to_40_8,-0.5664722222675669,0.4793372432836103,0.22340234591582475,0.7832058022316808,-0.18190137792862798,0.9348676510464892,1.0
