,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
burstduration_15,1.0,0.4331945054195633,0.35288337994374386,0.1448016368170052,0.15451144554985274,0.15317788317488154,0.17907236423291104
burstinterval_15,0.4331945054195633,1.0,0.7407297404052948,0.671710858019881,0.384115600711314,0.3432683795708759,0.4345100550216931
Ku_15,0.35288337994374386,0.7407297404052948,1.0,0.16379761858802694,0.855896088578786,0.8026037885745633,0.9014406614955284
CorrDim_15,0.1448016368170052,0.671710858019881,0.16379761858802694,1.0,-0.1877241003332879,-0.19058321852482657,-0.1580821736135311
PSD_3_to_7_15,0.15451144554985274,0.384115600711314,0.855896088578786,-0.1877241003332879,1.0,0.9919450112512129,0.9933313067389116
PSD_12_to_30_15,0.15317788317488154,0.3432683795708759,0.8026037885745633,-0.19058321852482657,0.9919450112512129,1.0,0.9714034753047454
PSD_20_to_40_15,0.17907236423291104,0.4345100550216931,0.9014406614955284,-0.1580821736135311,0.9933313067389116,0.9714034753047454,1.0
