,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11
burstduration_11,1.0,-0.7962572954840654,-0.17816450284828353,-0.04718649362723175,-0.43723112839174705,-0.44076385743060276,-0.43687929549047627
burstinterval_11,-0.7962572954840654,1.0,0.7317849346689405,0.42779403969354507,-0.01093809132739273,-0.006694757705910973,-0.011141746106465846
Ku_11,-0.17816450284828353,0.7317849346689405,1.0,0.7263364510810476,-0.580000710528634,-0.5767074070489606,-0.579951062153981
CorrDim_11,-0.04718649362723175,0.42779403969354507,0.7263364510810476,1.0,-0.8775428922352821,-0.8756956056438152,-0.8777387141473144
PSD_3_to_7_11,-0.43723112839174705,-0.01093809132739273,-0.580000710528634,-0.8775428922352821,1.0,0.9999760701477765,0.9999997606586762
PSD_12_to_30_11,-0.44076385743060276,-0.006694757705910973,-0.5767074070489606,-0.8756956056438152,0.9999760701477765,1.0,0.9999773869453045
PSD_20_to_40_11,-0.43687929549047627,-0.011141746106465846,-0.579951062153981,-0.8777387141473144,0.9999997606586762,0.9999773869453045,1.0
