,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
burstduration_16,1.0,0.07989868052140393,-0.6950511096129331,-0.14520067127246755,-0.30376249351685364,-0.26220549262553977,-0.3429617839071017
burstinterval_16,0.07989868052140393,1.0,0.11282170156150452,0.47108698179637515,-0.31654276777152696,-0.20370599162473432,-0.31282019527417465
Ku_16,-0.6950511096129331,0.11282170156150452,1.0,0.10992214824230949,-0.04333276013651649,-0.06110913526425505,0.005949721686726604
CorrDim_16,-0.14520067127246755,0.47108698179637515,0.10992214824230949,1.0,-0.01071325230298172,-0.16264910430066226,-0.07814807708441132
PSD_3_to_7_16,-0.30376249351685364,-0.31654276777152696,-0.04333276013651649,-0.01071325230298172,1.0,0.9653752303747597,0.9950952028054172
PSD_12_to_30_16,-0.26220549262553977,-0.20370599162473432,-0.06110913526425505,-0.16264910430066226,0.9653752303747597,1.0,0.9792847974894152
PSD_20_to_40_16,-0.3429617839071017,-0.31282019527417465,0.005949721686726604,-0.07814807708441132,0.9950952028054172,0.9792847974894152,1.0
