,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
burstduration_2,1.0,-0.7999028108774466,0.40465951514378307,-0.33655340540762135,0.2709932872524287,0.03903567822126167,0.5439716443861802
burstinterval_2,-0.7999028108774466,1.0,0.09902369468357698,0.35185205891397275,-0.6886815325942257,-0.6283722748636613,-0.8120350957267456
Ku_2,0.40465951514378307,0.09902369468357698,1.0,-0.5449069188795239,-0.45445283847709106,-0.7372142538227375,-0.25908432663228176
CorrDim_2,-0.33655340540762135,0.35185205891397275,-0.5449069188795239,1.0,0.004574963642814009,-0.06586082298599624,-0.02663755390168427
PSD_3_to_7_2,0.2709932872524287,-0.6886815325942257,-0.45445283847709106,0.004574963642814009,1.0,0.8056290917891868,0.9491692954664899
PSD_12_to_30_2,0.03903567822126167,-0.6283722748636613,-0.7372142538227375,-0.06586082298599624,0.8056290917891868,1.0,0.6628056221279524
PSD_20_to_40_2,0.5439716443861802,-0.8120350957267456,-0.25908432663228176,-0.02663755390168427,0.9491692954664899,0.6628056221279524,1.0
