,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
burstduration_16,1.0,-0.5283348828121636,0.9634009071364852,0.25155893106387084,0.13290301605115146,-0.3909688691726515,0.5073883529185016
burstinterval_16,-0.5283348828121636,1.0,-0.3593977195566067,0.6546692645097928,0.5899447597346253,0.6700847479793611,0.31377903049720446
Ku_16,0.9634009071364852,-0.3593977195566067,1.0,0.35789899035268946,0.23482717628386798,-0.41096926744319107,0.6027900644440493
CorrDim_16,0.25155893106387084,0.6546692645097928,0.35789899035268946,1.0,0.7057686555416889,0.5098494061255517,0.6974996959228225
PSD_3_to_7_16,0.13290301605115146,0.5899447597346253,0.23482717628386798,0.7057686555416889,1.0,0.6855614863433077,0.9160990147767424
PSD_12_to_30_16,-0.3909688691726515,0.6700847479793611,-0.41096926744319107,0.5098494061255517,0.6855614863433077,1.0,0.3866941116786751
PSD_20_to_40_16,0.5073883529185016,0.31377903049720446,0.6027900644440493,0.6974996959228225,0.9160990147767424,0.3866941116786751,1.0
