,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
burstduration_2,1.0,0.5452801544546803,-0.5222564985315694,-0.8784518467621286,-0.3854147116177258,0.03184911905243936,-0.3863935179203053
burstinterval_2,0.5452801544546803,1.0,-0.24335100003776608,-0.19842685368308996,-0.08893583070114157,0.5065633405794252,-0.13484990334075814
Ku_2,-0.5222564985315694,-0.24335100003776608,1.0,0.6672658634543261,0.911310840799667,0.2912633680027132,0.9577378360345667
CorrDim_2,-0.8784518467621286,-0.19842685368308996,0.6672658634543261,1.0,0.6718461938108644,0.4311652974158318,0.6331402837160901
PSD_3_to_7_2,-0.3854147116177258,-0.08893583070114157,0.911310840799667,0.6718461938108644,1.0,0.6291857955167772,0.9879113267069531
PSD_12_to_30_2,0.03184911905243936,0.5065633405794252,0.2912633680027132,0.4311652974158318,0.6291857955167772,1.0,0.5167157191649624
PSD_20_to_40_2,-0.3863935179203053,-0.13484990334075814,0.9577378360345667,0.6331402837160901,0.9879113267069531,0.5167157191649624,1.0
