,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
burstduration_2,1.0,0.4056245892380266,0.44113513790874476,0.6409236939254576,0.5199211922841283,0.1527379404732103,0.523993611755597
burstinterval_2,0.4056245892380266,1.0,0.8038147038113886,0.7841988714512348,0.3468117669612117,0.299569321596199,0.5855121217687302
Ku_2,0.44113513790874476,0.8038147038113886,1.0,0.7253361577305201,0.46733767645437924,0.38478913633476464,0.6622649511048617
CorrDim_2,0.6409236939254576,0.7841988714512348,0.7253361577305201,1.0,0.03335992131833954,-0.004853369065683641,0.24622253957003476
PSD_3_to_7_2,0.5199211922841283,0.3468117669612117,0.46733767645437924,0.03335992131833954,1.0,0.5793456293967055,0.9557347249172438
PSD_12_to_30_2,0.1527379404732103,0.299569321596199,0.38478913633476464,-0.004853369065683641,0.5793456293967055,1.0,0.52913922528333
PSD_20_to_40_2,0.523993611755597,0.5855121217687302,0.6622649511048617,0.24622253957003476,0.9557347249172438,0.52913922528333,1.0
