,burstduration_7,burstinterval_7,Ku_7,CorrDim_7,PSD_3_to_7_7,PSD_12_to_30_7,PSD_20_to_40_7
burstduration_7,1.0,-0.057320679582779005,-0.8812871019713462,-0.6691476977459293,-0.6635296756520792,-0.9062983276013014,-0.7082123427233402
burstinterval_7,-0.057320679582779005,1.0,0.12245577368371964,0.14100976930766987,0.4919117478478857,0.30210323430995684,0.4163623204465819
Ku_7,-0.8812871019713462,0.12245577368371964,1.0,0.25823059658324804,0.3400119738112994,0.7846033319819762,0.3728262380680451
CorrDim_7,-0.6691476977459293,0.14100976930766987,0.25823059658324804,1.0,0.922304461673361,0.6410938761800561,0.9497308997846591
PSD_3_to_7_7,-0.6635296756520792,0.4919117478478857,0.3400119738112994,0.922304461673361,1.0,0.7549918806964326,0.995376808228605
PSD_12_to_30_7,-0.9062983276013014,0.30210323430995684,0.7846033319819762,0.6410938761800561,0.7549918806964326,1.0,0.7648428500779071
PSD_20_to_40_7,-0.7082123427233402,0.4163623204465819,0.3728262380680451,0.9497308997846591,0.995376808228605,0.7648428500779071,1.0
