,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
burstduration_1,1.0,-0.7590754540922112,-0.41078579254666137,0.048432904196483106,-0.3549043412016833,-0.39698052942639855,-0.34869362651280406
burstinterval_1,-0.7590754540922112,1.0,0.7717418515469183,0.478233167417373,-0.3035317897597388,-0.2344018980985168,-0.3116231330819829
Ku_1,-0.41078579254666137,0.7717418515469183,1.0,0.25280203348420466,-0.34395211618659133,-0.21179760796930186,-0.358050438055318
CorrDim_1,0.048432904196483106,0.478233167417373,0.25280203348420466,1.0,-0.903909176228234,-0.9160405423257842,-0.9019666626026697
PSD_3_to_7_1,-0.3549043412016833,-0.3035317897597388,-0.34395211618659133,-0.903909176228234,1.0,0.9888078966149748,0.999869352198699
PSD_12_to_30_1,-0.39698052942639855,-0.2344018980985168,-0.21179760796930186,-0.9160405423257842,0.9888078966149748,1.0,0.9862767645757815
PSD_20_to_40_1,-0.34869362651280406,-0.3116231330819829,-0.358050438055318,-0.9019666626026697,0.999869352198699,0.9862767645757815,1.0
