,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11
burstduration_11,1.0,0.676453771427106,0.470286296463598,-0.09245103992888823,-0.8905179739950668,-0.6232825530016655,-0.8817920692690491
burstinterval_11,0.676453771427106,1.0,0.15922045068223942,-0.6564411630231131,-0.3128758714444164,-0.04118764045890894,-0.2896235299888559
Ku_11,0.470286296463598,0.15922045068223942,1.0,-0.34438822501249977,-0.6622832846875879,-0.7600023767419462,-0.6613799222229314
CorrDim_11,-0.09245103992888823,-0.6564411630231131,-0.34438822501249977,1.0,-0.1562575918674916,-0.05283460790311159,-0.17530439764209724
PSD_3_to_7_11,-0.8905179739950668,-0.3128758714444164,-0.6622832846875879,-0.1562575918674916,1.0,0.7793486388977626,0.9996231131988057
PSD_12_to_30_11,-0.6232825530016655,-0.04118764045890894,-0.7600023767419462,-0.05283460790311159,0.7793486388977626,1.0,0.7896692649123375
PSD_20_to_40_11,-0.8817920692690491,-0.2896235299888559,-0.6613799222229314,-0.17530439764209724,0.9996231131988057,0.7896692649123375,1.0
