,burstduration_3,burstinterval_3,Ku_3,CorrDim_3,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3
burstduration_3,1.0,0.43076675986213325,-0.34590313746924367,0.5904347412148239,-0.10294866311339197,-0.10944581563728152,-0.4725694555733502
burstinterval_3,0.43076675986213325,1.0,-0.2717600586028995,0.767148549276821,-0.9185432401105522,-0.680233383195716,-0.9768516174484538
Ku_3,-0.34590313746924367,-0.2717600586028995,1.0,-0.021252448159427312,0.06132168317775098,0.6149688725244722,0.36515251272403315
CorrDim_3,0.5904347412148239,0.767148549276821,-0.021252448159427312,1.0,-0.5746321129251536,-0.39007468029494374,-0.7185075401329857
PSD_3_to_7_3,-0.10294866311339197,-0.9185432401105522,0.06132168317775098,-0.5746321129251536,1.0,0.6744963523262614,0.8989922794421515
PSD_12_to_30_3,-0.10944581563728152,-0.680233383195716,0.6149688725244722,-0.39007468029494374,0.6744963523262614,1.0,0.7754897076617561
PSD_20_to_40_3,-0.4725694555733502,-0.9768516174484538,0.36515251272403315,-0.7185075401329857,0.8989922794421515,0.7754897076617561,1.0
