,burstduration_8,burstinterval_8,Ku_8,CorrDim_8,PSD_3_to_7_8,PSD_12_to_30_8,PSD_20_to_40_8
burstduration_8,1.0,-0.24358264101350574,-0.20208989556688112,-0.5211246281355203,-0.2600138771499454,0.3383037288737412,-0.14366440801410146
burstinterval_8,-0.24358264101350574,1.0,-0.5563930304050697,0.45177327842247084,-0.2220520768297917,-0.6747778179047701,0.03961795759939891
Ku_8,-0.20208989556688112,-0.5563930304050697,1.0,0.0927500216018145,-0.4417171325460673,-0.22258082260850087,-0.6864104993910677
CorrDim_8,-0.5211246281355203,0.45177327842247084,0.0927500216018145,1.0,-0.05228079277216422,-0.4971899972283165,0.04964424427448091
PSD_3_to_7_8,-0.2600138771499454,-0.2220520768297917,-0.4417171325460673,-0.05228079277216422,1.0,0.7477981777290108,0.9424473667864985
PSD_12_to_30_8,0.3383037288737412,-0.6747778179047701,-0.22258082260850087,-0.4971899972283165,0.7477981777290108,1.0,0.6462561308966824
PSD_20_to_40_8,-0.14366440801410146,0.03961795759939891,-0.6864104993910677,0.04964424427448091,0.9424473667864985,0.6462561308966824,1.0
