,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
PSD_12_to_30_13,-0.024182131450740243,-0.05122409847881828,0.49434271760023923,0.011472637734676387,0.6195965122287572,1.0,0.6059982254250222,0.6035980385824378,-0.19997181873035377
PSD_20_to_40_13,-0.24180639699164588,-0.16751721634304365,0.414938568467665,0.06456685338646394,0.8826837676797296,0.6059982254250222,1.0,0.5801099393638818,-0.4621648570008861
levodopa_13,-0.07440963721835707,-0.17733405309544634,0.5191965865604996,0.23273203658071456,0.598471754823599,0.6035980385824378,0.5801099393638818,1.0,-0.3429280161041217
UPDRS_13,0.3959611674044697,0.3814797304614344,-0.37007467663560606,-0.054693076980383344,-0.6909144755630064,-0.19997181873035377,-0.4621648570008861,-0.3429280161041217,1.0
""
,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14,levodopa_14,UPDRS_14
burstduration_14,1.0,-0.4449425036358408,0.0023895203220904247,-0.03614706545257577,-0.19179696902988405,-0.14020314651941224,-0.16070988422612292,-0.16091565218677234,0.06060428933126499
burstinterval_14,-0.4449425036358408,1.0,0.017244311283417465,-0.12924510159276817,0.27136721410484044,0.049668644180700126,0.32429134578976077,0.14752517695639308,-0.08629259800462524
Ku_14,0.0023895203220904247,0.017244311283417465,1.0,0.007290280804181109,-0.20271961023624332,-0.09236056244596125,-0.1168853971491392,-0.12925144364246877,0.08483428715202468
CorrDim_14,-0.03614706545257577,-0.12924510159276817,0.007290280804181109,1.0,-0.23872796584116215,-0.23501859927961602,-0.20955494520306966,-0.14229262482974425,0.19235681536786706
PSD_3_to_7_14,-0.19179696902988405,0.27136721410484044,-0.20271961023624332,-0.23872796584116215,1.0,0.6431178517408442,0.8821541681476476,0.38892389598235977,-0.4551199452971457
