,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
PSD_20_to_40_12,0.3937510924083096,-0.5760856917860119,-0.40504380829456693,0.32699480372898077,0.9987543317643425,0.9942361721143325,1.0
""
,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13
burstduration_13,1.0,-0.671267003544426,-0.17999807343841948,0.011257996887390277,-0.17611646365547087,-0.17195700463988617,-0.18651165251774451
burstinterval_13,-0.671267003544426,1.0,0.23931293301874682,-0.07023627237478329,0.36470277046074234,0.3652502992789898,0.3760468560740797
Ku_13,-0.17999807343841948,0.23931293301874682,1.0,-0.2898842153022877,-0.1575259976551534,-0.13088881363243018,-0.1303786033582733
CorrDim_13,0.011257996887390277,-0.07023627237478329,-0.2898842153022877,1.0,-0.17531418216483818,-0.18244754798663168,-0.19114602420815782
PSD_3_to_7_13,-0.17611646365547087,0.36470277046074234,-0.1575259976551534,-0.17531418216483818,1.0,0.9959440649427281,0.9966622103861853
PSD_12_to_30_13,-0.17195700463988617,0.3652502992789898,-0.13088881363243018,-0.18244754798663168,0.9959440649427281,1.0,0.996130228680401
PSD_20_to_40_13,-0.18651165251774451,0.3760468560740797,-0.1303786033582733,-0.19114602420815782,0.9966622103861853,0.996130228680401,1.0
""
,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14
burstduration_14,1.0,-0.6020309702092732,-0.4020233937292382,0.35962787129442725,0.4734026645215099,0.3530957622423723,0.4760840405032969
burstinterval_14,-0.6020309702092732,1.0,0.7172430645301047,-0.4703844287854595,-0.37881285721472907,-0.2476160246361451,-0.3430725501496101
Ku_14,-0.4020233937292382,0.7172430645301047,1.0,-0.5080484835277141,-0.4834982787664711,-0.4019459097527499,-0.4443188297986653
CorrDim_14,0.35962787129442725,-0.4703844287854595,-0.5080484835277141,1.0,0.36731780115130247,0.2384390123378207,0.32117571219971314
PSD_3_to_7_14,0.4734026645215099,-0.37881285721472907,-0.4834982787664711,0.36731780115130247,1.0,0.8476669404512981,0.9684266821301021
PSD_12_to_30_14,0.3530957622423723,-0.2476160246361451,-0.4019459097527499,0.2384390123378207,0.8476669404512981,1.0,0.9278332562467676
PSD_20_to_40_14,0.4760840405032969,-0.3430725501496101,-0.4443188297986653,0.32117571219971314,0.9684266821301021,0.9278332562467676,1.0
""
,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
burstduration_15,1.0,-0.1405057655304241,0.08482260424447564,0.02061768007472849,0.04495869427730598,0.06503442518139795,0.05069621851055963
burstinterval_15,-0.1405057655304241,1.0,0.42880432193448015,0.14024485816408053,-0.15110112379400298,-0.11011144565978487,-0.15216335186807656
Ku_15,0.08482260424447564,0.42880432193448015,1.0,-0.1490138308593931,0.15797831803779838,0.24212850393908542,0.11774244367961464
